2026-02-22 17:23:24,091 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,113 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,134 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.98, 78876.0) | Best Ask: (Decimal('0.9900'), 56650.0)
2026-02-22 17:23:24,135 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.98, 78876.0) | Best Ask: (Decimal('0.9900'), 56650.0)
2026-02-22 17:23:24,139 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,139 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,140 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,140 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,140 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,141 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,141 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34670.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,172 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 41892.0)
2026-02-22 17:23:24,172 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 41034.0)
2026-02-22 17:23:24,172 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-MIL | Best Bid: (0.01, 34570.0) | Best Ask: (Decimal('0.0200'), 71593.0)
2026-02-22 17:23:24,190 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.6, 6340.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:24,196 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.37, 150.0) | Best Ask: (Decimal('0.3800'), 24493.0)
2026-02-22 17:23:24,198 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 41034.0)
2026-02-22 17:23:24,208 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.98, 78876.0) | Best Ask: (Decimal('0.9900'), 56650.0)
2026-02-22 17:23:24,222 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.37, 150.0) | Best Ask: (Decimal('0.3800'), 24493.0)
2026-02-22 17:23:24,227 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.98, 78876.0) | Best Ask: (Decimal('0.9900'), 56550.0)
2026-02-22 17:23:24,247 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22TORMIL-TOR | Best Bid: (0.98, 78876.0) | Best Ask: (Decimal('0.9900'), 56550.0)
2026-02-22 17:23:24,250 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.37, 150.0) | Best Ask: (Decimal('0.3800'), 24493.0)
2026-02-22 17:23:24,267 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-BKN | Best Bid: (0.37, 150.0) | Best Ask: (Decimal('0.3800'), 24493.0)
2026-02-22 17:23:24,285 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.62, 100.0) | Best Ask: (Decimal('0.6300'), 1581.0)
2026-02-22 17:23:24,320 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22BKNATL-ATL | Best Bid: (0.64, 133.0) | Best Ask: (Decimal('0.6500'), 41034.0)
2026-02-22 17:23:24,321 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.62, 100.0) | Best Ask: (Decimal('0.6300'), 1581.0)
