2026-03-01 22:13:38,508 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 70231.0)
2026-03-01 22:13:38,514 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 70081.0)
2026-03-01 22:13:38,553 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 73287.0)
2026-03-01 22:13:38,555 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 413.0) | Best Ask: (Decimal('0.9400'), 65598.0)
2026-03-01 22:13:38,658 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 351.0) | Best Ask: (Decimal('0.9400'), 65598.0)
2026-03-01 22:13:38,660 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 350.0) | Best Ask: (Decimal('0.9400'), 65598.0)
2026-03-01 22:13:38,660 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.93, 250.0) | Best Ask: (Decimal('0.9400'), 65598.0)
2026-03-01 22:13:38,662 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 15134.0) | Best Ask: (Decimal('0.9400'), 65598.0)
2026-03-01 22:13:38,663 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 15134.0) | Best Ask: (Decimal('0.9300'), 87.0)
2026-03-01 22:13:38,690 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01OKCDAL-DAL | Best Bid: (None, None) | Best Ask: (Decimal('0.0100'), 378934.0)
2026-03-01 22:13:38,702 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 15134.0) | Best Ask: (Decimal('0.9300'), 87.0)
2026-03-01 22:13:38,704 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 15134.0) | Best Ask: (Decimal('0.9300'), 87.0)
2026-03-01 22:13:38,706 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 15134.0) | Best Ask: (Decimal('0.9300'), 87.0)
2026-03-01 22:13:38,707 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 15134.0) | Best Ask: (Decimal('0.9300'), 87.0)
2026-03-01 22:13:38,708 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 15134.0) | Best Ask: (Decimal('0.9300'), 87.0)
2026-03-01 22:13:38,711 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 15135.0) | Best Ask: (Decimal('0.9300'), 87.0)
2026-03-01 22:13:38,762 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73538.0)
2026-03-01 22:13:38,765 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73538.0)
2026-03-01 22:13:38,798 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73538.0)
2026-03-01 22:13:38,808 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73538.0)
2026-03-01 22:13:38,811 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73538.0)
2026-03-01 22:13:38,854 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73538.0)
2026-03-01 22:13:38,857 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73438.0)
2026-03-01 22:13:38,893 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73438.0)
2026-03-01 22:13:38,903 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73425.0)
2026-03-01 22:13:38,951 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73425.0)
2026-03-01 22:13:38,972 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73425.0)
2026-03-01 22:13:39,000 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 74098.0)
2026-03-01 22:13:39,019 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-BOS | Best Bid: (0.92, 17635.0) | Best Ask: (Decimal('0.9300'), 87.0)
2026-03-01 22:13:39,020 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 80787.0)
2026-03-01 22:13:39,031 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 74098.0)
2026-03-01 22:13:39,033 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 80586.0)
2026-03-01 22:13:39,035 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 74098.0)
2026-03-01 22:13:39,045 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 80575.0)
2026-03-01 22:13:39,065 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01SACLAL-SAC | Best Bid: (0.02, 19214.0) | Best Ask: (Decimal('0.0300'), 56462.0)
2026-03-01 22:13:39,077 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 74098.0)
2026-03-01 22:13:39,094 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 74098.0)
2026-03-01 22:13:39,102 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 74098.0)
2026-03-01 22:13:39,102 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01SACLAL-SAC | Best Bid: (0.02, 19214.0) | Best Ask: (Decimal('0.0300'), 62310.0)
