2026-02-27 21:32:21,697 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 13.0)
2026-02-27 21:32:21,714 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 13.0)
2026-02-27 21:32:21,714 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8300'), 87.0)
2026-02-27 21:32:21,729 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8300'), 87.0)
2026-02-27 21:32:21,729 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8300'), 87.0)
2026-02-27 21:32:21,729 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8300'), 87.0)
2026-02-27 21:32:21,729 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1857.0)
2026-02-27 21:32:21,731 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1857.0)
2026-02-27 21:32:21,731 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1857.0)
2026-02-27 21:32:21,731 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1857.0)
2026-02-27 21:32:21,731 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1857.0)
2026-02-27 21:32:21,747 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 13.0)
2026-02-27 21:32:21,764 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1857.0)
2026-02-27 21:32:21,764 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1857.0)
2026-02-27 21:32:21,764 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1847.0)
2026-02-27 21:32:21,764 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1834.0)
2026-02-27 21:32:21,773 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1834.0)
2026-02-27 21:32:21,773 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1834.0)
2026-02-27 21:32:21,773 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1465.0) | Best Ask: (Decimal('0.7400'), 13.0)
2026-02-27 21:32:21,784 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1834.0)
2026-02-27 21:32:21,825 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1834.0)
2026-02-27 21:32:21,836 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1834.0)
2026-02-27 21:32:21,836 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27NYKMIL-MIL | Best Bid: (0.01, 11003.0) | Best Ask: (Decimal('0.0300'), 21434.0)
2026-02-27 21:32:21,836 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27NYKMIL-NYK | Best Bid: (0.98, 42693.0) | Best Ask: (Decimal('0.9900'), 22744.0)
2026-02-27 21:32:21,847 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1834.0)
2026-02-27 21:32:21,874 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 489.0)
2026-02-27 21:32:21,874 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 249.0)
2026-02-27 21:32:21,874 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 249.0)
2026-02-27 21:32:21,888 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 70.0) | Best Ask: (Decimal('0.2700'), 1646.0)
