2026-03-01 22:13:36,631 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('205.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:36,640 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('30.000'))
2026-03-01 22:13:36,641 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('30.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:36,650 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('30.000'))
2026-03-01 22:13:36,651 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('30.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:36,865 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('332.000'))
2026-03-01 22:13:36,865 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('332.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:36,876 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('332.000'))
2026-03-01 22:13:36,877 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('332.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:37,412 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12000.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:37,413 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12000.000'))
2026-03-01 22:13:37,448 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12000.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:37,449 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12000.000'))
2026-03-01 22:13:37,454 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12000.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:37,455 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12000.000'))
2026-03-01 22:13:37,473 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('332.000'))
2026-03-01 22:13:37,474 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('332.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:37,495 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.160'), Decimal('3000.000'))
2026-03-01 22:13:37,496 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.840'), Decimal('3000.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:37,557 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12000.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:37,557 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12000.000'))
2026-03-01 22:13:37,683 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12010.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:37,684 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12010.000'))
2026-03-01 22:13:38,094 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12010.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:38,095 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12010.000'))
2026-03-01 22:13:38,109 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12010.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:38,109 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12010.000'))
2026-03-01 22:13:38,719 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12010.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:38,719 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12010.000'))
2026-03-01 22:13:39,735 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12010.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:39,736 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('12010.000'))
2026-03-01 22:13:39,835 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12010.000')) | Best Ask: (Decimal('0.070'), Decimal('1033.000'))
2026-03-01 22:13:39,836 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1033.000')) | Best Ask: (Decimal('0.940'), Decimal('12010.000'))
2026-03-01 22:13:39,954 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12010.000')) | Best Ask: (Decimal('0.070'), Decimal('1033.000'))
2026-03-01 22:13:39,954 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1033.000')) | Best Ask: (Decimal('0.940'), Decimal('12010.000'))
2026-03-01 22:13:40,997 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('12010.000')) | Best Ask: (Decimal('0.070'), Decimal('1033.000'))
2026-03-01 22:13:40,998 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1033.000')) | Best Ask: (Decimal('0.940'), Decimal('12010.000'))
2026-03-01 22:13:41,039 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('11301.000')) | Best Ask: (Decimal('0.070'), Decimal('1033.000'))
2026-03-01 22:13:41,040 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1033.000')) | Best Ask: (Decimal('0.940'), Decimal('11301.000'))
2026-03-01 22:13:41,110 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('11301.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:41,110 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('11301.000'))
2026-03-01 22:13:44,043 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('11074.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:44,043 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('11074.000'))
2026-03-01 22:13:45,818 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01 | Best Bid: (None, None) | Best Ask: (None, None)
2026-03-01 22:13:45,818 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01-inverse | Best Bid: (None, None) | Best Ask: (None, None)
2026-03-01 22:13:45,818 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01 | Best Bid: (None, None) | Best Ask: (None, None)
2026-03-01 22:13:45,818 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01-inverse | Best Bid: (None, None) | Best Ask: (None, None)
2026-03-01 22:13:47,328 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01 | Best Bid: (None, None) | Best Ask: (None, None)
2026-03-01 22:13:47,328 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01-inverse | Best Bid: (None, None) | Best Ask: (None, None)
2026-03-01 22:13:48,825 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('11074.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:48,826 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.940'), Decimal('11074.000'))
2026-03-01 22:13:48,877 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.060'), Decimal('11074.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
