2026-02-22 17:23:36,516 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.580'), Decimal('5777.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,632 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('3111.000'))
2026-02-22 17:23:36,632 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('3111.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,650 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('150.000'))
2026-02-22 17:23:36,650 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('150.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,662 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('150.000'))
2026-02-22 17:23:36,664 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('150.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,664 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('150.000'))
2026-02-22 17:23:36,664 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('150.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:36,716 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.660'), Decimal('150.000'))
2026-02-22 17:23:36,716 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('150.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,743 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.660'), Decimal('150.000'))
2026-02-22 17:23:36,744 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('150.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,744 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.420'), Decimal('5777.000'))
2026-02-22 17:23:36,744 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.580'), Decimal('5777.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,758 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.660'), Decimal('150.000'))
2026-02-22 17:23:36,758 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('150.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,758 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.400'), Decimal('150.000'))
2026-02-22 17:23:36,758 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.600'), Decimal('150.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,842 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.660'), Decimal('150.000'))
2026-02-22 17:23:36,842 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('150.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,862 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.660'), Decimal('150.000'))
2026-02-22 17:23:36,862 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('150.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,892 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('262.000'))
2026-02-22 17:23:36,892 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('262.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,936 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('262.000'))
2026-02-22 17:23:36,936 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('262.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,952 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('2677.000'))
2026-02-22 17:23:36,957 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2677.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,992 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.410'), Decimal('262.000'))
2026-02-22 17:23:36,992 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.590'), Decimal('262.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:36,992 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('2677.000'))
2026-02-22 17:23:36,992 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2677.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:36,992 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('2415.000'))
