2026-03-12 22:21:44,877 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,878 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.46, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,878 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.46, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,879 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,879 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,880 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,880 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,881 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.45, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,881 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.34, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,881 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141605KCATH-ATH | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.6700'), 146.0)
2026-03-12 22:21:44,883 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR141605KCATH-ATH | Best Bid: (0.05, 10.0) | Best Ask: (Decimal('0.6700'), 146.0)
2026-03-12 22:21:44,883 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,884 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,884 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,885 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,885 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,886 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,886 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,887 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,887 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,888 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,888 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,888 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 43.0)
2026-03-12 22:21:44,889 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,889 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,890 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,890 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,891 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 100.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,891 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 100.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,892 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,892 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,892 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,893 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,893 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,894 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,894 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 100.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,894 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 100.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,895 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 100.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,895 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,896 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,896 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.35, 634.0) | Best Ask: (Decimal('0.5900'), 2000.0)
