2026-02-26 21:38:58,278 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,282 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
2026-02-26 21:38:58,285 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
2026-02-26 21:38:58,288 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
2026-02-26 21:38:58,330 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-LAL | Best Bid: (0.72, 2509.0) | Best Ask: (Decimal('0.6000'), 2378.0)
2026-02-26 21:38:58,331 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
2026-02-26 21:38:58,342 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 11679.0)
2026-02-26 21:38:58,348 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 4616.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,350 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,367 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,371 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 11679.0)
2026-02-26 21:38:58,374 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 4616.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,376 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 2617.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,389 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.38, 1999.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,390 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-LAL | Best Bid: (0.72, 2509.0) | Best Ask: (Decimal('0.6000'), 2378.0)
2026-02-26 21:38:58,391 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,407 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.38, 1999.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,408 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.38, 1999.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,409 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.38, 1999.0) | Best Ask: (Decimal('0.2900'), 367287.0)
