timestamp,ticker,best_bid_price,best_bid_size,best_ask_price,best_ask_size,bid_levels,ask_levels,spread
2026-02-08T18:57:04.930967,KXSB-26-NE,0.32,16875.0,0.33,204036.0,32,67,0.01
2026-02-08T18:57:04.930967,KXSB-26-SEA,0.69,78856.0,0.7,87205.0,69,29,0.01
2026-02-08T18:57:05.933295,KXSB-26-NE,0.32,16875.0,0.33,204036.0,32,67,0.01
2026-02-08T18:57:05.933295,KXSB-26-SEA,0.69,78856.0,0.7,87205.0,69,29,0.01
2026-02-08T18:57:06.934350,KXSB-26-NE,0.31,54757.0,0.33,203799.0,31,67,0.02
2026-02-08T18:57:06.934350,KXSB-26-SEA,0.69,78856.0,0.7,86786.0,69,29,0.01
2026-02-08T18:57:07.939980,KXSB-26-NE,0.31,54757.0,0.33,202453.0,31,67,0.02
2026-02-08T18:57:07.939980,KXSB-26-SEA,0.69,78853.0,0.7,86322.0,69,29,0.01
2026-02-08T18:57:08.942426,KXSB-26-NE,0.31,54757.0,0.33,202453.0,31,67,0.02
2026-02-08T18:57:08.942426,KXSB-26-SEA,0.69,78853.0,0.7,86322.0,69,29,0.01
2026-02-08T18:57:09.944666,KXSB-26-NE,0.32,306.0,0.33,203322.0,32,67,0.01
2026-02-08T18:57:09.944666,KXSB-26-SEA,0.69,78853.0,0.7,91104.0,69,29,0.01
2026-02-08T18:57:10.946409,KXSB-26-NE,0.32,306.0,0.33,203322.0,32,67,0.01
2026-02-08T18:57:10.946409,KXSB-26-SEA,0.69,78853.0,0.7,91104.0,69,29,0.01
2026-02-08T18:57:11.948984,KXSB-26-NE,0.31,54648.0,0.33,200605.0,31,67,0.02
2026-02-08T18:57:11.948984,KXSB-26-SEA,0.69,78749.0,0.7,86363.0,69,29,0.01
2026-02-08T18:57:12.950976,KXSB-26-NE,0.31,54648.0,0.33,200605.0,31,67,0.02
2026-02-08T18:57:12.950976,KXSB-26-SEA,0.69,78749.0,0.7,86363.0,69,29,0.01
2026-02-08T18:57:13.952811,KXSB-26-NE,0.32,56.0,0.33,194529.0,32,67,0.01
2026-02-08T18:57:13.952811,KXSB-26-SEA,0.69,75749.0,0.7,86212.0,69,29,0.01
2026-02-08T18:57:14.954893,KXSB-26-NE,0.32,56.0,0.33,194529.0,32,67,0.01
2026-02-08T18:57:14.954893,KXSB-26-SEA,0.69,75749.0,0.7,86212.0,69,29,0.01
2026-02-08T18:57:15.957185,KXSB-26-NE,0.32,56.0,0.33,194529.0,32,67,0.01
2026-02-08T18:57:15.957185,KXSB-26-SEA,0.69,75749.0,0.7,86212.0,69,29,0.01
